1533148840# #D4.城堡内部。
1633612969# #下午前脚刚送孩子返校，后脚老婆接到坏蛋电话说忘带语文书了允悲而且指定要晚上九点半送到学校！没办法，我俩只能现在再来一趟，好在学校近，走走当散步🚶‍♀️校门口一溜车，都是接下晚自习的走读生，每个优秀的孩子后都有两个辛苦的爹妈哈哈
1526814828# #珠江岸边，临江道旁，海心沙园，环境一流，味道一般，适合情侣。太太的介绍总是差了那么一点点doge不过自家人吃饭小聚无所谓啦笑cry
1564230640# #PalaceGardon，大赞goodgoodgood
1564397797# #苏格兰高地，气象万千，变化莫测，真的很美！可惜很多画面，手机根本没法演绎。
1632223438# #对于此病，照顾母亲这一年多来，我是深有体会，劳心劳力！愿天下的父母都能健康！远离此病。
1630839788# #升入高中，第一次周日返校，本不打算再开车送，毕竟步行也就十几分钟，但因为今天还有一些大件物品，还是开车吧！十分钟到校，爽！家离校近就是硬道理啊！
1678280886# #DAY1.三年未出去了，趁着年假陪老婆去澳门小玩三天。天气正好，不冷不热，今天主打氹仔、路环。最后一张，网红无处不在笑cry
1541647643# #上海之大，地大人多之复杂，再次颠覆我想像。昨晚从昆山回浦东，地图上看没多远，结果足足走了两个小时，这个时间足够我从广州天河开车去香港九龙哈哈。早上自助餐，左边两日本人，右边一白人老外，对面说话的是香港人，背靠背的小哥正在通话劵商资管基金doge电梯里两个小姐姐对话，说一个上午要去
1522595122# #每年愚人节都是一个不太开心的日子。15年转眼即逝，央视也罕有地于今晚播出张国荣早年电影以作纪念goodgood
1591766869# #头一次见有人在机场休息室玩扑克，这得多大的瘾啊！关键是还能约齐4个人笑cry笑cry
1520849497# #这地方不错。火锅，我喜欢！前提是少一点花椒，别太麻。
1666065132# #不得不说，武汉核酸检测是一流的笑cry点多时间长还特快，中午两点测，下午六点出结果。多希望能停止这项高效高质的工作！
1642668944# #下午经过珠江新城里的一条河涌，印象中一直不太干净，但意外发现居然有白鹭栖息捕食，“水清至无鱼”，瞎说！
1669799727# #广州昨天阳6995，首次低于7000，社会面68，趋势向好。今天中午14点几，广州宣布解除所有临时管控区，只保留高风险区（封楼栋和单元），各区之间全部打通，街上的核酸监测点几乎都撤了，不知明天是否上班要验码？下午，珠江上的几座大桥很快就车流满满，多个小区的水马纷纷撤掉。广州说变就变，犹如今天
1655970015# #重返故地，不胜唏嘘。哥在此战斗了七年，终未躲过七年之痒允悲允悲
1532861024# #D-1-4。今日头条：我是谁？也就是人文通史教育。话说今天好冷哦！
1533026954# #续2。继续补发图片。
1587011556# #关于无症状新冠感染者的问题。今天央视报道，武汉最近对居民进行22万人核酸检测，测得0.06%的无症状者；对复工复产的员工进行11万次检测，测得0.08%的无症状者，也就是说最多是万分之八。更关键的是，对上述无症状者的密切接触者进行测试，尚无一人显示阳性。好消息！否则，太麻烦了！这孙子病毒，神不
1549186744# #这段时间，小猫经常咬我！时不时追着我缠着我，活脱脱一只老虎仔允悲孩子告诉我，因为每次我们出外，都是我将它锁在猫笼；而回家后，多数是孩子放它出来。小猫记得这些，故区别对待我和他笑cry笑cry笑cry
1555385381# #好像第一次坐海航，红色座椅夺目，小姐姐们穿旗袍秀身材可爱落地后广播有普通话、英语和广东话三个版本，你没看错！是粤语哈哈
1602361798# #午夜时分，夜不能寐。
1533149809# #D4.伊顿公学和温莎城堡分别位于伊顿小镇和温莎小镇，两镇以riverthames分界，自成一家，各自为政。从伦敦坐火车一般是先到slough，然后换乘，合计30分钟。记住：目的地站名是WindsorandEton。
1601168012# #在我看来，西湖名气之大，绝不仅是景美，人文荟萃在国内也首屈一指。没想到，鼎鼎大名的文澜阁在孤山上。
1533203866# #D5.温莎卫队行进…，每天11点。
1591924508# #昨早回北京办公室，开心见到了不少同事。中午1点半，与同事碰头后租车去张家口，走京张高速公路，沿途经官厅水库、八达岭。下午4点到达张家口开始办事，晚8点结束。几个人匆匆吃个汉堡套餐就赶回北京，前半段还挺顺，但在进京检查站前等了一个多小时（估计跟10号北京最新发现一例本地确诊新冠有关吧）
1533238752# #D5.下午行程取消，因为儿子发烧了抓狂估计是连续几天炸、烤、煎的东西吃多了！明天看看情况如何再说吧悲伤
1627695225# #明天中考录取开始，这几天各种传言满天飞……，果如是？我从没想过孩子分数能超神学院dogedogedoge静等结果。
1642310889# #白天鹅宾馆喝个茶。
1655970476# #微笑微笑
1663324761# #今天关灯吃面，彻底躺平
1540166977# #孩子住校50天，逐渐适应了这种生活，总结：周一至周四，平静如水，相看俩不厌；周五，风风火火，幸福地等待；周末，鸡飞狗跳，争分又夺秒；周日晚，依依不舍，全身放松了！doge
1533586070# #D9.体会伦敦9点的样子。
1545881247# #第二次来青岛。外面零下5度，北方冬天，冷！但哥从来不怕，何况是这种干冷加上大太阳，远好过广州的湿冷无暖气。青岛空气清新，非常舒服。正在出口等同事，突然一群人出来，簇拥着一个女孩，门口有粉丝送花、娱记照相，只见小姐姐边摆pose边念叨着“照瘦点照瘦点”哈哈哈哈问题是人长得不咋地，瘦
1694963615# #第一次航拍武汉，虽然天气不太好，但看到熟悉的长江大桥、汉水，还是令我震撼！
1565024230# #好一幅生态和谐画面！图9是维多利亚女王。
1596128802# #航路管制，7点40的飞机，现在到达。好久好久没有晚点了笑cry笑cry这是经济复苏的表现吗？馋嘴馋嘴
1597295946# #上海的历史，是一篇宏诗。
1589986079# #今天很高兴，看到这家店也开始营业了！倒并非喜欢吃牛肉粉，而是这两个月和孩子数次经过，发现它都一直没开门。我跟孩子说可能疫情冲击结业了，并说了很多相关的经济知识，孩子似懂非懂，不过也体会到国情，现在这些巳不重要，只要它营业，就说明有希望！中小企业太难了泪
1581733525# #这段时间心情特别沉重，早上微信，中午微博，晚上电视，时刻关注家乡疫情。湖北，我去过大部分地市，有我的亲友同学；武汉，养我的地方，更多的亲人朋友在此。每天都有人因病离开这个世界，每天都有生死离别的家庭泪人没了就真的没了，我们唯有更坚强，珍惜每时每刻，珍惜身边的人。永远爱她，武汉加
1566464753# #金鸡湖。
1547260994# #天气真好！适合运动。
1531523795# #今天天气不错，适合跑步。半小时慢跑快走，间中读几首古诗词，不亦乐乎！顺便打包三份牛肉拉肠，全家早餐有着落啦挤眼挤眼
1664255226# #这家城市书房，啧啧称赞！凸显文化底蕴。蒹葭苍苍，在水一方。蒹葭，芦苇也！江滩边到处都是。近距离感受长江二桥。
1532946400# #D2-3。图腾崇拜。图一是屎壳郎笑cry
1533204521# #D5.再见，温莎和伊顿。希望下次再来，这个车站会漂亮一点哈哈
1634365687# #我家三岁的英短猫，盛世美颜哈哈哈哈哈哈
1533538754# #D9.Morning，London！挤眼挤眼
1597410028# #大上海，以后再来。
1633782444# #成都人对火锅，那是真爱！
1590660460# #坏蛋，越玩越出格，你咋不上天呢允悲
1564495868# #海岸边，风景优美，近岸海域有人玩水、游泳。这里的海鸥不怕人！主动找食，如果不给，还会攻击人！坏鸟。
1544943431# #同生共渡。
1562151628# #期末考试结束，孩子说不管成绩如何，先嗨几天再说允悲允悲今晚饭后散步，陪他来AJ店。
1522250749# #今天是大业信托成立七周年，当然也小弟服务了她七年哈哈想起当年，成立之日的情景，迎宾、庆典、讲话、酒宴，历历在目，恍如昨日。作为一个职场人，特别是这个年纪的中年油腻男，公司是安身立命之所，唯有不懈努力，她好我也好！祝福公司、祝福同事，天天向上！年年有今日，岁岁有今朝。
1535166422# #中学吋代。
1530468484# #丹麦克罗地亚开赛4分钟，双方各自一次射门，各进一球，这比赛太好看了！哥看世界杯有30多年了，本届淘汰赛算是最精采的goodgoodgood
1525863858# #小书吧今天是微电影的拍摄现场，从早到晚。干啥都不容易呀！
1533048580# #D3.大情圣徐志摩的“康桥”。
1539492097# #近来颇为不顺，借重阳登高之机，祈求平安转运！哥承诺如转运，今后每月一次，直至明年重阳。立此！
1695781767# #睡个懒觉，吃个早餐—崩沙腩舔屏舔屏
1562400120# #好久没来过了！今天陪同学逛逛。
1530489026# #孩子考上了心仪的初中。爸爸履行承诺：戒烟加油加油加油
1520784505# #今天上午外出办事经过中石化，忍不住进去想吃个午饭，谁知太早都没开始营业。过去你对它爱理不理，今天它就叫你高攀不起笑cry
1554524936# #我家猫咪🐱今天手术，从此不再是公猫了笑cry
1578298834# #就凭小德这句话，老子以后就不支持这个孙子啦！什么玩意，狗屁都不懂！
1534993533# #上海，夜和晨。图一是外滩，图二是郭广昌的复星物业，地块就是几年前打官司的十六甫，图三是大名鼎鼎的陆家嘴汤臣一品，四栋楼呈“品”字型。
1571299960# #广州火车站侯车室没有什么人，想想多年前人山人海。高铁分流了大部分旅客！科技改变世界。
1604198006# #煎熬、煎熬……，人生最痛苦莫过于选择题，做了不知对错；错了就无法回头，但即使对了呢，下一道马上又来，再一次考验你的选择，循环往复……，直至你选无可选泪
1573575982# #这个好！
1538227656# #此次湖北之行，走了几个三四线城市，大部分以前都没去过，算是弥补了些遗憾。最后一站是家乡，昨晚和今午连续两次与武汉业务部聚餐，探讨市场交流业务，认识了几个新同事，也感受到他们年轻人的活力，其中还有三个武大毕业的孩子，严格来说他们是父母的师弟师妹，这样算我岂不是吃大亏了笑cry
1695370465# #英雄是民族最闪亮的坐标。
1613206217# #这十年，看过至少百个楼盘吧！唯有这次不用偷鸡摸狗，正大光明地去看笑cry笑cry
1654096772# #今天在成都受到惊吓，晚上吃火锅压压惊馋嘴
1532706577# #第一次飞国际长途就碰上晚点，而且还不提前通知，候机厅广播各种乱七八糟的语言（就是没中文），我一句也听不懂泪唉，天下航司都差不多，以后谁再乱批评我大南航，我跟他急！总之，国际航班感觉乱糟糟的，搞笑的是大家还超有耐心，傻傻地排队笑cry好困失望
1598495140# #嘉陵江，站在江北看渝中。
1565213837# #再次中转迪拜，这个机场就是个土豪机场哈哈叧外，我在吸烟室惊奇地发现很多乘客有火机笑cry还是国内安检严啊！现在静等飞香港的航班，希望在香港落地后顺利，原因你懂的。哥几个月前订票时可真没想到香港有这么一出戏允悲
1591881319# #签到。张家口，脑海第一印象：詹天佑，京张铁路。第二感觉：平津战役，傅作义摆开一字长蛇阵。第三，冬奥会。进了市区，感觉不错，规划建设大气。就是天气有点凉，不像夏天。
1526641810# #出门-体育东横街-天河东路-黄埔大道西-内环-黄石西路-石槎-西槎路-金碧新城。车程45分钟，距离20公里。这会是未来三年每周固定行程吗？doge
1533658469# #D10.自然历史博物馆之四。
1564471938# #鲜花小镇，老板娘很nice鲜花
1533651880# #D10.吃饭吃得没选择了！决定在英国吃意大利餐笑cry通心粉、意粉、Pizza。味道还行、调料丰富，孩子最爱。
1695462410# #武汉大学的学生宿舍，古朴典雅，按千字文排序，极具创意和特色，不知道是不是李四光老的创意呢？父母当年作为化学糸本科生有幸入住，现在是博士生宿舍。
1647325151# #今天是哥入职公司11周年纪念日。11年，经历风风雨雨，现在是行业最艰难的时候，未来的路怎么走？不胜唏嘘。
1571485591# #大武汉机场夜景。军运会，车道染绿了哈哈
1538081437# #突发恶梦，夜不能寐！深感忧虑悲伤
1675565477# #元宵节，雨中返校。期待这一刻很久了笑cry
1578991487# #全国重点文物保护单位。郭靖黄蓉哈哈
1532958868# #D2。临别之际，留个秋波。
1634787300# #大学毕业后，第一次来东湖，大变样！
1564170404# #超市货架上摆着各种一次性冷冻食品，难吃极了！想找些糖果，木有悲伤
1557385037# #豪华过桥米线，碗面直径目测30厘米。
1533486474# #D8.天文台古迹之三。这些没搞清楚汗
1533048457# #D3.大名鼎鼎的剑桥有25000名学生，分属几十家院系。今天我们参观古老的国王学院，1724年兴建，1729年竣工。校园四四方方，非常空旷，一幢教学楼将学院分成前院和后院，建筑大多为哥特式。现在学生在校内生活居住，上课是去校外。居住环境太奢侈了！
1528453068# #这雨下得大啊！小区周边街道和社区路都淹了，寸步难行，只能赤脚。
1680665234# #4月5号，星期三，清明节。在这个寄托哀思的日子，逝者安息，生者珍惜。天堂的亲人安好，身边的亲人安康。所求皆所得，所得皆所愿。为逝者寄托一份哀思清明
1540643309# #今晚的“好书分享”，IT从业人员兼专家花花为大家解读第二次浪潮-信息革命，介绍了50年来🐂的十几家公司。
1533032737# #D3.剑桥小站印象。
1637923947# #下午谈事到5点15分，网约车5点25分从武昌傅家坡出发去天河机场，周五下班高峰沿途堵，6点30到机场。10分钟完成安检、飞奔，6点40登机。好在是廊桥，而不是远机位摆渡，否则可能真要误机改签。幸运！不要问我为什么时间搞得这么紧？没办法，哥在这恭候了两天，才等到人。
1568217090# #出差途中在机上读介绍中国古代集大成的罕有大家苏东坡的文章，尽管对他已很熟悉，但其艰难人生仍令人感慨。。嘉祐二年（1057）考中进士，1071反对新法被驱至杭州知州；1074调密州（山东诸城）知州；1079调湖州知州，同年“乌台诗案”坐牢103天；1080年发配黄州（现黄冈）团练副使挂闲职；1084调汝州，因
1564406122# #老人岩。
1673084191# #孩子考完试，出来散散心。几个土包子，第一次来……搞笑的是，西早主打广州早茶美食，明显是迎合外地人，孩子说早知如此不如去喝早茶，看来我们吃了个寂寞笑cry不过看看景也不错，有些事情在于过程。
1564734289# #NoTv、Nodesk、Nochair、Nofridge，自己动手，丰衣足食。大家读书、谈谈英语、讲讲数学，聊聊生活，时间不知不觉就过去了！或许这就是YHA的真谛，其实也挺美好！岀门见到几个青年正在准备晚上的Party！
1572173134# #今晚老婆有饭局，晚饭和孩子吃完后，决定不开车。送孩子到校后，回来地铁转天河客运站三号线，见一个穿省附校服的小同学和我并行，我告诉他走反了，应该去六号线！孩子恍然大悟忙道谢！估计是七年级新生哈哈哥做好事不留名doge
1549791847# #这个春节不太冷，实在对不起冬天。哥自1月31日休假共12天。1月底，和孩子同学两家去香港三天，买了他想要的AirJordan，顺便也采购年货；腊月二十九、三十在家搞了两天卫生；大年三十，父母岳父母两家人东海酒楼年夜饭；初一、初二团拜，回娘家，越秀公园看灯展；初三，中行老同事饮茶叙旧，晚上与太太
1686114785# #成都天府国际机场，签到打卡。这里离成都市区60公里，想像中人少，结果发现还是很多人的。新机场硬件设施齐全，居然还有一个露天广场，抽烟人的乐园！椅子不错，软的舒服，硬的可以躺平啦允悲
1533384945# #D7.今天是个好日子吧？回去查查英国老黄历。
1668907872# #昨天阳了8400+，连续两天下降，但降幅太低，每天也就降了300左右，说不定一个反弹就上去了！海珠区，太难了失望今早的星巴克，仍然非常冷清。
1690366798# #烈日，徒步，暴晒允悲
1695736679# #尝尝香港地道大排档。豉油鸡、椒盐鲜鱿、酱爆通菜，外加一份榴莲奶昔，两个白饭，盛惠410元，真心不便宜！难怪周末港人纷纷北上深圳消费，物价挺贵。
1531253150# #比利时输得无话可说，首发除了阿扎尔和沙兹利，其他人均不及格。丁丁表现令人失望，费莱里的确是废的，卢卡库被人卡住。深层次原因很简单，就是底蕴，高卢雄鸡拿过世界杯、欧洲杯，全场都很自然、大气、从容、淡定，战术明确，所有队员均发挥正常，滴水不漏，比利时毫无办法！回首前尘，重要赛事，欧洲
1670574536# #如果说前三年是疫情时代，那么现在和未来就是后疫情时代。国家防疫政策调整后，总体方向应是在不损害经济的前提下保护人民健康，国家的任务是防止医疗挤兑，个人的任务是做好自我防护。结合欧美、东亚近邻、港台的过往看，放开后个体阳性是大概率事件，即使再好的自我保护也无法避免，因为我们是社会群
1532862747# #D1-1英国近代史=人类工业革命。瓦特蒸汽机、博尔顿工厂、牛顿三大运动定律，记忆中的那些一一浮现出来。
1533471265# #D8.观光车游伦敦之十二。
1591781433# #准点到达北京。临下机前和4号空姐聊了几句，问她今晚是不是要飞回广州，答曰今天就安排一班飞北京，今晚就住北京。不禁感叹，几年前每个空姐几乎每天飞4个航段，前年开始飞两个航段，现在就剩一个航段了！无他，因为现在坐的人少了，航班也就少。疫情对航空业冲击挺大！希望早日恢复正常。
1563675172# #暑假不单是个假期，作业、锻炼、旅游，同时也是个“维修季”。这不，太太老是说孩子牙不好也不齐，那就挂号、拍片、CT、洗牙、补牙，最后ku牙，一条龙服务。坐在等侯大厅百无聊奈，正好有部时尚剧《归还世界给你》打发时间，男主是我喜欢的“小包总”（因为他够man），女主古力娜扎第一次见，不只美貌
1564919628# #再来！重点看古罗马、古埃及，它们的历史文化更久远，但这些雕像我实在是看不懂允悲
1661059262# #来了才知道，君山的“君”指的是湘妃，之前一直以为是舜帝。最奇之处，只有岛上的湘妃竹才有“泪斑”，移植他处皆无。今年大旱，洞庭水枯，有点遗憾，不照也罢。
1551666957# #外面的世界很精采，外面的世界很无奈。这是你的私家花园，思考“猫”生……笑cry笑cry
1620259436# #早班机，人山人海，这是全面复苏的节奏吗？想想去年4月8日。武汉解封，哥在疫情后第一次出差，也是南昌。没想到，T2的B157登机口真远，走到中途，广播催我，接着客舱服务也催我，史无前例允悲笑cry汗
1536020090# #TMD，大树都被砍了，等个车晒死老子了！你大爷啊！净瞎折腾。
1588676910# #让我再看你最后一眼泪泪泪泪
1548993655# #港大，一所代表香港大学教育的招牌。校区居于港岛西环闹市，仍然依山观海，小巧精致，值得一看。
1564320469# #萝梦湖边，鲜花小镇。偶见两条喜欢玩水的狗笑cry
1575101522# #喜欢花的猫。
1538526505# #推开阳台门，天然氧吧，延年益寿哈哈
1525165671# #尽管很累，但想想白云广雅是孩子一直念叨着学校，必须去！中午草草吃了饭，下午赶赴最后一站—白雅。学校占地面积不大，四周建筑分为教学楼、综合楼、宿舍，中间操场。学校社团活动不错，有艺术、文学、军事等；饭堂一楼窗口，二、三、四分别是初一初二初三用餐区，而且规定了毎个班固定的餐桌，很有特
1702398096# #她是我青春的记忆。缅怀，哀思。蜡烛
1622345020# #广州这个“预防接种疫苗”APP，我实在是无语。要么登不上；要么登上了，明明告知有号，却发现剩余名额全是0。
1533302220# #D6.中饭就在这里，顺便试试英式下午茶，历史悠久的500多年老店good
1570256086# #偷得浮生半日闲。孩子约了他的小伙伴们去浪，我俩也可以出去走走。
1660968376# #千古名楼，万古流芳。
1564847079# #布伦海姆宫，是为纪念第一代邱吉尔爵士取得英法布伦海姆战役而命名，也是英国唯一非皇家的宫殿，占地也是皇家赐与爵士的。二战首相温斯顿·邱吉尔出生于此并受洗于此。整个建筑分为三部分，即外花园、内宫和后花园。首先是外花园（下图）。
1670801584# #返校
1561449883# #邯郸，七雄之一赵国都城。据说有几百条成语与它有关，是名符其实的“成语之乡”！除了“邯郸学步”，你还能说几个呢挤眼挤眼
1533486384# #D8.天文台古迹之二。
1565006632# #全是油画，肖像为主。除了图八梵高的《向日葵》，其他都不知道，但不明觉厉！
1576994545# #孩子的爱国主义教育。
1533206706# #D5.赶往巴斯。老外坐火车，行李全扔在门口处，堵塞交通，人TM坐在座位上倒挺舒服，有没有考虑一下别人？什么破习惯！老子必须吐槽抓狂
1590540773# #180度看市区。
1534645441# #今天，初一新生家长会。
1561692312# #猫咪长大了，快一岁了！现在越来越听人话，每次当我表扬它“好叻仔（聪明）”，它就会爬到椅背上表演哈哈哈哈哈哈
1652425576# #现在出差不容易，办事更难！折腾了四天，三件事办了1.5件，不要问我为什么会有半件事，因为两份合同只签了一份允悲
1647864141# #东航坠机，令人无比心痛💔泪泪
1564171922# #现在旅游流行租公寓，便宜且封闭管理，从头到尾见不到管理员。两厅两房两卫，英国家庭也早实施垃圾分类。表扬一下goodgood
1658574347# #暑假彻底激活了饮食，每家酒楼都有等位。这家粤菜馆很有特色，出品不错，就是量少，一家八人点了十二个菜，外加几份甜品。
1596886625# #秦淮河畔。
1594123443# #华灯初上，乌云笼罩。
1531021423# #尘埃落定，完成注册。经过两年艰辛努力，孩子终于被理想的学校录取。为你自豪！为你骄傲！希望你继往开来，砥砺前行，谦卑做人。不忘过去！不惧将来！三年后，我们中考见。
1556677041# #五一节快乐！劳动最光荣鲜花鲜花鲜花
1533284878# #D6.晚上喝热水、擦汗、换衣，仿佛又回到童年时代，一番折腾后，孩子终于挺过来，退烧了，昨天没怎么吃东西，现在主动要求吃早餐。That'sGreat！鼓掌坦白说，这里的西早品种少，质量一般，还没我在国内五星吃得好笑cry
1554445113# #清明踏青。
1678345405# #DAY2.闲逛澳门半岛。
1598997039# #科比问“你见过凌晨4点的洛杉矶吗”？我问“你见过凌晨5点的广州塔吗”？哈哈哈哈
1622447124# #完成人生首次核酸检测，前后一个小时，还算顺利！城市烈日下，辛苦你们，白衣天使鲜花鲜花广州加油💪加油💪
1532968372# #D2.西斯敏斯特大教堂。皇家教堂，先贤祠处。
1565088416# #今天坐Districtline去towerbridge，这条是最浅接近地面的线路，居然没信号！即使在地面，英国移动通信的信号远不及国内。为祖国骄傲！
1564492508# #分享视频
1597024450# #昨晚见到妻子的亲戚，一起吃了晚饭。想想上次我们见面还是18年前，那时我和妻子刚结婚，他俩从北京回广州看我们，我也是第一次见到他们，当时他俩还是男女朋友，大学毕业准备去英国留学，一转眼女儿在英国出生都已12岁了。夫妻俩博士毕业归来在南京理工大学任职正副教授，学霸！good我们摆开“龙门阵
1534998300# #粤语“阿柏天尼”，我的偶像！忠诚的AC米兰斗士，中场核心，强硬后腰。
1597051805# #今天下午4点30分，广州2020年中考分数线公布了！中考高保线698，比去年足足提升12分，预示高分段考生必将大幅增加，各名校录取线也将水涨船高。小弟预测：华附728，省实725，二中720，广大附718，广雅715，执信710，六中700，铁一698。如何？三天后，试目以待哈哈
1533311133# #D6.参观一家年轻的大学，位于小镇的山顶，校园环境幽静，设备齐全，基本都是现代建筑。偶遇几个读硕的中国学生，正在做公益活动，也是毕业课题。既然是公益，我们当然同意赞助。
1538363374# #今天是中华人民共和国成立69周年，祝福祖国！祝福国民！祝福我的家人、朋友、同事！
1564686346# #或许是因为距离伦敦近，来牛津参观的游客远远超过去剑桥的，且商业氛围更浓厚，人气更盛。但在我看来，恰恰相反，牛津校园的规模大过剑桥，但古老的韵味比不上剑桥，而且剑桥的环城河更加优雅。两者相似之处在于，中国人游学众多，偶尔会碰到一家三口，父母用中英语为孩子解读，但这个大约十岁的孩子真
1548914699# #试试中文大学饭堂，味道一般，价钱便宜点。
1532958674# #D2-6。中国馆泪泪泪
1530860405# #2018年广州中考成绩出炉！现在注意力转到中考了。三年后，我们见哈哈哈哈
1552018339# #昨晚同学聚会，大家七八年没见过面了，分外高兴，相谈甚欢，忆校园生活思毕业聚会，谈宗教、论马拉松。大部分人的孩子都已升大学，“解放”了！唯有我的小孩还在读初中！悲伤期间抽空去看看姑姑，经过童年时住过的粮道街和候补街，家对面的武汉中学更加漂亮，不知升学率多少笑cry当年中华路的老邮
1531919148# #锻炼身体，保卫国家。
1539489671# #我爱你，中国！
1546271940# #新年即将到来，2018年也将过去。于家庭而言，孩子小升初考取理想初中，父亲手术也成功，太太工作顺利，老人家们身体也不错，希望永远健康！于我而言，职业生涯中不干凡的一年，难忘！本命年还真是坎委屈期望否极泰来。冬天已经来临，春天不会遥远！
1564494958# #徜徉在圣安德鲁斯大街，处处是宗教古迹，还有一战二战苏格兰高地牺牲的战士（图一），到处是游客。本以为中餐又是fish&chips或者hotdog，却不经意间发现了一家日韩餐饮店，毫不犹豫进去点了饭团、寿司卷，哥们现在不想味道如何？只求吃到米饭。
1574214025# #到达武汉，我的家乡。热干面，我来了！
1564756778# #鲜花簇簇。
1550976993# #挂着两块小眼屎笑cry笑cry笑cry
1545950134# #体会北方冬天的早晨。
1568895364# #车还没到贵阳，列车员已经大声说：停5分钟，可以下车抽烟！笑cry笑cry这么体贴的服务员，第一次见到哈哈哈哈话说哥还真没来过，这次也只是经过吧！
1564494415# #宗教改革的先行者—帕特里克·汉密尔顿，为纪念他而设立的神学院—圣安德鲁斯大学。图九是他名字的缩写P·H，镶嵌在地上，千万别踩！否则考试挂科哈哈哈哈哈哈
1673573347# #打个出租车去高铁站，路上居然晕车，自己都不信，奇闻！老司机开了二十多年车，算是白过了。问题来了，这是阳康后遗症吗允悲（配图与文字无关，只是以飨读者）笑cry
1626531027# #周末周围走走。
